dataset_id,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MODIS_4_BGC,,,,,,,,,,,,,,,,,3485228.0578170004,3459097.2754619997,3378174.729387999,3391052.546054,3410569.3303690003,3371237.1705649993,3373893.748999002,3356023.8548790007,3385137.6813490004,3375491.42645,3400626.676449,3397391.4754650006,3382813.8342899997,3373089.0823270003,3368834.3048740006,3370028.4568390003,3389766.4588019988,3391284.417622,3393925.5774230007,3403759.277426,3387827.1038999995,
MODIS_5_PFT,,,,,,,,,,,,,,,,,3025242.1166390004,2978269.0431089997,2893451.2833089987,2904559.338212,2913698.2705669994,2893204.4499769993,2907415.8431160003,2907023.4666420002,2920635.2587990006,2923102.808803,2917967.8274280005,2899558.058798,2889577.403895999,2881782.562719001,2886465.254873,2889910.4891930013,2902492.219586999,2895566.315659,2900620.7627180004,2908336.1195820007,2908431.5960559994,
NLCD_canopy_10,,,,,,,,,,,,,,,,,,,,,,,,,,,2812410.8418640005,,,,,2793071.979124,,,,,,
NLCD_canopy_20,,,,,,,,,,,,,,,,,,,,,,,,,,,2557361.582678,,,,,2537070.546072,,,,,,
NLCD_canopy_60,,,,,,,,,,,,,,,,,,,,,,,,,,,1687439.0299399998,,,,,1645664.448543,,,,,,
NLCD_canopy_80,,,,,,,,,,,,,,,,,,,,,,,,,,,1004392.0225849999,,,,,942690.3816839999,,,,,,
NLCD_canopy_perc,,,,,,,,,,,,,,,,,,,,,,,,,,,1334952.3494489994,,,,,1290868.1527580004,,,,,,
NLCD_forest,,,,,,,,,,,,,,,,,2012493.4360220006,,,1988058.9586660005,,1968851.3812420005,,1957214.2117120002,,,1952419.82797,,1957601.9360579997,,,1941988.0970130002,,,1954797.2086060003,,1949003.8601159998,
NLCD_forest_woodywet,,,,,,,,,,,,,,,,,2373439.9435649994,,,2343686.433641,,2324074.348242,,2315133.6660800003,,,2309991.498524,,2320755.4589520004,,,2304813.561254,,,2318052.6965060006,,2311790.9544929997,
NRI_grazed,,,281740.18615944963,,,,,278911.3719142048,,,,,268988.2638607851,,,,,248235.53217320924,,,,,240886.28085795225,,,,,239125.8599757183,,,,,238939.7005261028,,,,,
NRI_notgrazed,,,1386353.7029542695,,,,,1389332.254148118,,,,,1404067.1792796438,,,,,1425742.614326184,,,,,1432509.1056252522,,,,,1436620.801295022,,,,,1441214.0833670585,,,,,
NRI_total,,,1668093.8891137184,,,,,1668243.626062323,,,,,1671505.4633751516,,,,,1601339.5386483204,,,,,1673395.386483205,,,,,1675746.6612707411,,,,,1680153.7838931608,,,,,
